,year,country,sex,age,suicides_no,Population,GDPyear,suicides_100k,latitude,longitude
368,1985,Netherlands,male,35-54 years,333,1877900,142009922306.0,17.73,52.132633,5.291266
370,1985,Netherlands,male,55-74 years,256,1108000,142009922306.0,23.1,52.132633,5.291266
371,1985,Netherlands,male,75+ years,106,258800,142009922306.0,40.96,52.132633,5.291266
375,1985,New Zealand,female,05-14 years,3,272300,24950895141.0,1.1,-40.900557,174.88597099999998
372,1985,New Zealand,female,15-24 years,15,291600,24950895141.0,5.14,-40.900557,174.88597099999998
373,1985,New Zealand,female,25-34 years,13,259100,24950895141.0,5.02,-40.900557,174.88597099999998
374,1985,New Zealand,female,35-54 years,22,364600,24950895141.0,6.03,-40.900557,174.88597099999998
376,1985,New Zealand,female,55-74 years,26,259300,24950895141.0,10.03,-40.900557,174.88597099999998
377,1985,New Zealand,female,75+ years,4,81500,24950895141.0,4.91,-40.900557,174.88597099999998
381,1985,New Zealand,male,05-14 years,2,282800,24950895141.0,0.71,-40.900557,174.88597099999998
378,1985,New Zealand,male,15-24 years,60,305400,24950895141.0,19.65,-40.900557,174.88597099999998
379,1985,New Zealand,male,25-34 years,51,255400,24950895141.0,19.97,-40.900557,174.88597099999998
380,1985,New Zealand,male,35-54 years,64,371200,24950895141.0,17.24,-40.900557,174.88597099999998
382,1985,New Zealand,male,55-74 years,60,235700,24950895141.0,25.46,-40.900557,174.88597099999998
383,1985,New Zealand,male,75+ years,18,46900,24950895141.0,38.38,-40.900557,174.88597099999998
423,1985,Puerto Rico,female,05-14 years,1,353200,20289200000.0,0.28,18.220833,-66.590149
420,1985,Puerto Rico,female,15-24 years,3,336300,20289200000.0,0.89,18.220833,-66.590149
421,1985,Puerto Rico,female,25-34 years,8,267500,20289200000.0,2.99,18.220833,-66.590149
422,1985,Puerto Rico,female,35-54 years,8,361600,20289200000.0,2.21,18.220833,-66.590149
424,1985,Puerto Rico,female,55-74 years,11,214700,20289200000.0,5.12,18.220833,-66.590149
425,1985,Puerto Rico,female,75+ years,4,53900,20289200000.0,7.42,18.220833,-66.590149
429,1985,Puerto Rico,male,05-14 years,2,368000,20289200000.0,0.54,18.220833,-66.590149
426,1985,Puerto Rico,male,15-24 years,28,321500,20289200000.0,8.71,18.220833,-66.590149
